ID,Название (Title):,Описание( Summary):,Приоритет (Priority),Предусловия (Preconditions),Шаги (Steps to reproduce):,Ожидаемый результат (Expected result):,Фактический результат,Совпадение ожидаемого результата с фактическим да  / нет  ,Отметка о покрытии (если есть) / причина почему не может быть покрыт,Мой комментарий/вопрос,Комментарий руководителя
5-NNC-10,"Попытка сохранения новости  с незаполненными всеми обязательными полями (Ttle, Publication date, Time, Description)",Не заполняется ни одно поле,Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- поле Categoty оставить пустым
- поле Title оставить пустым
- поле Publication date оставить пустым
- поле Time оставить пустым
- поле Description оставить пустым
- Кликнуть по кнопке SAVE","- Поле Categoty остается пустым, появляется индикатор ошибки (восклицательный знак в кружке красного цвета)
- Поле Title остается пустым, появляется индикатор ошибки (восклицательный знак в кружке красного цвета)
- Поле Publication date остается пустым, появляется индикатор ошибки (восклицательный знак в кружке красного цвета)
- Поле Time остается  пустым, появляется индикатор ошибки (восклицательный знак в кружке красного цвета)
- поле Description остается  пустым, появляется индикатор ошибки (восклицательный знак в кружке красного цвета)
- Новость не сохраняется, пользователь остается на странице создания новостей Creating News
","- Поле Categoty остается пустым, появляется индикатор ошибки (восклицательный знак в кружке красного цвета)
- Поле Title остается пустым, появляется индикатор ошибки (восклицательный знак в кружке красного цвета)
- Поле Publication date остается пустым, появляется индикатор ошибки (восклицательный знак в кружке красного цвета)
- Поле Time остается  пустым, появляется индикатор ошибки (восклицательный знак в кружке красного цвета)
- поле Description остается  пустым, появляется индикатор ошибки (восклицательный знак в кружке красного цвета)
- Новость не сохраняется, пользователь остается на странице создания новостей Creating News
",да,Покрыт ручным тестом. Может быть автоматизирован,,
5-NNC-11," Отмена создания новости после заполнения всех обязательных полей на странице Creating news Category, Title, Publication date, Time, Description",Отменить создание новости можно нажав кнопку Cancel и выбрав соответствующую кнопку в диалоговом окне,Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- Кликнуть по полю Category, в выпадающем списке выбрать категорию новости, например Объявление
- Поле Title заполнить 1-60 знакаками на кириллице, кликнуть Ok
- Кликнуть по полю Publication date, в открывшемся календаре выбрать текущую дату, подтвердить выбор кликнув Ok
-  Кликнуть по полю Time, в открывшемся Time Picker (Таймпикер) выбрать текущее время, подтвердить выбор, кликнув Ok
- Заполнить поле Description 1-2500 символами на кириллице
- Кликнуть по кнопке CANCEL
- открывшемся диалоговом окне кликнуть кнопку Ok
","- открывается диалоговое окно с текстом "" The changes won't be saved? do you really want to log out?"". Диалог содержит две кнопки Cancel и OK
-  После нажатия Ok происходит возвращение на экран редактирования/удаления новостей Control panel","- открывается диалоговое окно с текстом "" The changes won't be saved? do you really want to log out?"". Диалог содержит две кнопки Cancel и OK
-  После нажатия Ok происходит возвращение на экран редактирования/удаления новостей Control panel",да,Покрыт ручным тестом. Может быть автоматизирован,,
5-NNC-12," Отмена создания новости без заполнения всех обязательных полей на странице Creating news Category, Title, Publication date, Time, Description","Поля Creating news Category, Title, Publication date, Time, Description остаются пустыми",Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- поле Categoty оставить пустым
- поле Title оставить пустым
- поле Publication date оставить пустым
- поле Time оставить пустым
- поле Description оставить пустым
- Кликнуть по кнопке CANCEL
- в открывшемся диалоговом окне кликнуть Ok
","- открывается диалоговое окно с текстом "" The changes won't be saved? do you really want to log out?"". Диалог содержит две кнопки Cancel и OK
-  После нажатия Ok происходит возвращение на экран редактирования/удаления новостей Control panel
","-- открывается диалоговое окно с текстом "" The changes won't be saved? do you really want to log out?"". Диалог содержит две кнопки Cancel и OK
-  После нажатия Ok происходит возвращение на экран редактирования/удаления новостей Control panel",да,Покрыт ручным тестом. Может быть автоматизирован,,
5-NNC-13,Отмена закрытия Формы создания новостей при всех заполненных валидными значениями полях,"После отмены закрытия Формы создания новостей изменения во всех  полях ( Category, Title, Publication date, Time, Description) сохраняются",Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- Кликнуть по полю Category, в выпадающем списке выбрать категорию новости, например Объявление
- Поле Title заполнить 1-60 знакаками на кириллице, кликнуть Ok
- Кликнуть по полю Publication date, в открывшемся календаре выбрать текущую дату, подтвердить выбор кликнув Ok
-  Кликнуть по полю Time, в открывшемся Time Picker (Таймпикер) выбрать текущее время, подтвердить выбор, кликнув Ok
- Заполнить поле Description 1-2500 символами на кириллице
- Кликнуть по кнопке CANCEL
- в открывшемся диалоговом окне кликнуть кнопку CANCEL
","- Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Кликнуть по кнопке CANCEL
- открывается диалоговое окно с текстом "" The changes won't be saved? do you really want to log out?"". Диалог содержит две кнопки Cancel и OK
- После нажатия на кнопку CANCEL происходит возврат к окну редактирования новостей. 
- Все ранее введённые в поля данные  сохраняются (не сбрасываются)
","- Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Кликнуть по кнопке CANCEL
- открывается диалоговое окно с текстом "" The changes won't be saved? do you really want to log out?"". Диалог содержит две кнопки Cancel и OK
- После нажатия на кнопку CANCEL происходит возврат к окну редактирования новостей 
- Все ранее введённые в поля данные сохраняются (не сбрасываются)",да,Покрыт ручным тестом. Может быть автоматизирован,,
5-NNC-14,Отмена закрытия Формы создания новостей со всеми пустыми (незаполненными) полями,"После отмены закрытия Формы создания новостей со всеми незаполнеными (пустыми) полями ( Category, Title, Publication date, Time, Description), все эти поля остаются пустыми",Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- Кликнуть по полю Category, в выпадающем списке выбрать категорию новости, например Объявление
- Поле Title заполнить 1-60 знакаками на кириллице, кликнуть Ok
- Кликнуть по полю Publication date, в открывшемся календаре выбрать текущую дату, подтвердить выбор кликнув Ok
-  Кликнуть по полю Time, в открывшемся Time Picker (Таймпикер) выбрать текущее время, подтвердить выбор, кликнув Ok
- Заполнить поле Description 1-2500 символами на кириллице
- Кликнуть по кнопке CANCEL
- в открывшемся диалоговом окне кликнуть кнопку CANCEL
","- Поле Categoty остается пустым
- Поле Title остается пустым
- Поле Publication date остается пустым
- Поле Time остается  пустым
- поле Description остается  пустым
- После нажатия на кнопку CANCEL происходит возврат к окну редактирования новостей. 
- Все поля (Category, Title, Publication date, Time, Description) остаются пустыми (незаполненными)
","- Поле Categoty остается пустым
- Поле Title остается пустым
- Поле Publication date остается пустым
- Поле Time остается  пустым
- поле Description остается  пустым
- После нажатия на кнопку CANCEL происходит возврат к окну редактирования новостей. 
- Все поля (Category, Title, Publication date, Time, Description) остаются пустыми (незаполненными)
",да,Покрыт ручным тестом. Может быть автоматизирован,,
5-NNC-15,Отмена зпкрытия Формы создания новостей с одним заполненным полем Category,"Заполняется только поле Category, все остальные поля (Title, Publication date, Time, Description) остаются пустыми",Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- Кликнуть по полю Category, в выпадающем списке выбрать категорию новости, например Объявление
- поле Title оставить пустым
- поле Publication date оставить пустым
- поле Time оставить пустым
- поле Description оставить пустым
- Кликнуть по кнопке CANCEL
- в открывшемся диалоговом окне кликнуть кнопку CANCEL","- Поле Categoty принимает значение
- Поле Title остается пустым
- Поле Publication date остается пустым
- Поле Time остается  пустым
- поле Description остается  пустым
- После нажатия на кнопку CANCEL происходит возврат к окну редактирования новостей. 
- Все поля (Category, Title, Publication date, Time, Description) остаются пустыми (незаполненны","- Поле Categoty принимает значение
- Поле Title остается пустым
- Поле Publication date остается пустым
- Поле Time остается  пустым
- поле Description остается  пустым
- После нажатия на кнопку CANCEL происходит возврат к окну редактирования новостей. 
- Все поля (Category, Title, Publication date, Time, Description) остаются пустыми (незаполненны",да,Покрыт ручным тестом. Может быть автоматизирован,,
5-NNC-16,"Работа кнопки Active/Not active при заполнении всезх полей (Categori, Title, Publication date, Time, Description) валидными значениями",Все поля заполняются валидными зачениями,Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- Кликнуть по полю Category, в выпадающем списке выбрать категорию новости, например Объявление
- Поле Title заполнить 1-60 знакаками на кириллице, кликнуть Ok
- Кликнуть по полю Publication date, в открывшемся календаре выбрать текущую дату, подтвердить выбор кликнув Ok
-  Кликнуть по полю Time, в открывшемся Time Picker (Таймпикер) выбрать текущее время, подтвердить выбор, кликнув Ok
- Заполнить поле Description 1-2500 символами на кириллице
- переключить положение кнопки Active в положение Not active

","- Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Кнопка Active переключилась в положение Not active
","- Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Кнопка Active находится в неактивном состоянии, переключение в положение  Not active не происходит",нет,"Не покрыт  ручным тестом, т.к. нет требований. Не понятно - так должно быть или это баг.","Это баг? Или так и должно быть, но тогда зачем эта кнопка здесь?",
5-NNC-17,Отображение созданной новости на странице просмотра  новостей News,,,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- Кликнуть по полю Category, в выпадающем списке выбрать категорию новости, например Объявление
- Поле Title заполнить 1-60 знакаками на кириллице, кликнуть Ok
- Кликнуть по полю Publication date, в открывшемся календаре выбрать текущую дату, подтвердить выбор кликнув Ok
-  Кликнуть по полю Time, в открывшемся Time Picker (Таймпикер) выбрать текущее время, подтвердить выбор, кликнув Ok
- Заполнить поле Description 1-2500 символами на кириллице
- Кликнуть по кнопке SAVE
- на открывшейся странице Control Panel в верхней панели приложения кликнуть по иконке  с тремя полосками
- в раскрывшемся списке выбрать News
- на открывшейся странице News со списком новостей отображается панель со значком категории и  заголовком созданной новости
-кликнуть по панели с созданной новостью
","- Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Происходит переход на страницу Creating News
- Раскрывается выпадающий список Main, News, About
- Произошел переход на страницу News, отображаются панели со значками категории, заголовками и датами новостей, отображается панель созданной новости, категория, заголовок и дата публикации новости отображаются верно
- Открывается текст созданной новости для чтения, текст  отображается верно
","- Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Происходит переход на страницу Creating News
- Раскрывается выпадающий список Main, News, About
- Произошел переход на страницу News, отображаются панели со значками категории, заголовками и датами новостей, отображается панель созданной новости, категория, заголовок и дата публикации новости отображаются верно
- Открывается текст созданной новости для чтения, текст и отображается верно",да,Покрыт ручным тестом. Может быть автоматизирован,,
6-NCPEN (News  Control Panel Editing News) Редактирование новостей,,,,,,,,,,,
6-NCPEN-1,Редактирование всех полей в существующей (раннее созданной) новости ,Изменения вносятся в форму редактирования раннее существующих (созданных и сохраненных) новостей  Editing News. Изменяется содержимое всех полей,Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- Кликнуть по полю Category, в выпадающем списке выбрать категорию новости, например Объявление
- Поле Title принимает предустановленное значение - очистить его и заполнить 1-60 знакаками на кириллице
- Кликнуть по полю Publication date, в открывшемся календаре выбрать текущую дату, подтвердить выбор кликнув Ok
-  Кликнуть по полю Time, в открывшемся Time Picker (Таймпикер) выбрать текущее время, подтвердить выбор, кликнув Ok
- Заполнить поле Description 1-2500 символами на кириллице 
- кликнуть SAVE
- на открывшейся странице Controle panel найти панель созданной и сохранной новости, кликнуть по этой панели
- на открывшейся странице Controle panel в панели созданной и сохраненной новости, кликнуть иконку Квадрат с карандашом
- в открывшейся форме редактирования новостей  Editting News в выпадающем списке Category выбрать другую категорию (например Праздник)
- Поле Title принимает предустановленное значение - очистить его и заполнить 1-60 знакаками на кириллице, текст поля отличается от текста при создании новости
- В Поле Publication date в календаре выбрать одну из дат, следующих за датой создании редактируемой новости
- В  Поле Time установить время, отличное от времени в редактируемой новости
-  Поле Description очистить, затем заполнить 1-2500 символами на кириллице
-  Кликнуть по кнопке SAVE
-  Кликнуть по панели с отредактированной  новостью","-  Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Происходит переход на страницу Creating News
- Открывается текст созданной новости для чтения, текст  отображается верно
- Отккрылась форма редактирования новостей Editing News. Форма содержит обязательные для заполнения поля Category, Title, Publication date, Time, Description, переключатель Active/Not active, кнопки SAVE, CANCELL 
- Поле Category принимает выбранную категорию (например Праздник)
-  Поле Title принимает значение 
-  Поле  Publication date принимает значение
-  Поле Time принимает значение
-  Поля Description принимает значение
- Происходит переход на страниц Controle panel
-  На главном экране отображается панель с отредактированной новостью
- Содержание полей Category, Title, Publication date, Time отображается верно
- Открывается текст для чтения отредактированной новости, текст отображается верно
","-  Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Происходит переход на страницу Creating News
- Открывается текст созданной новости для чтения, текст  отображается верно
- Отккрылась форма редактирования новостей Editing News. Форма содержит обязательные для заполнения поля Category, Title, Publication date, Time, Description, переключатель Active/Not active, кнопки SAVE, CANCELL 
- Поле Category принимает выбранную категорию (например Праздник)
-  Поле Title принимает значение 
-  Поле  Publication date принимает значение
-  Поле Time принимает значение
-  Поля Description принимает значение
- Происходит переход на страниц Controle panel
-  На главном экране отображается панель с отредактированной новостью
- Содержание полей Category, Title, Publication date, Time отображается верно
- Открывается текст для чтения отредактированной новости, текст отображается верно",да,Покрыт ручным тестом. Может быть автоматизирован,,
6-NCPEN-2,Редактирование поля Category в существующей (раннее созданной) новости ,"Изменения вносятся в форму редактирования раннее существующих (созданных и сохраненных) новостей  Editing News. Изменяется содержимое только поля Category, остальные поля остаются без изменений. Значение поля Titlle при редактировании новости заполняется теми же знаками, что и при создании новости.",Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- Кликнуть по полю Category, в выпадающем списке выбрать категорию новости, например Объявление
- Кликнуть по полю Title. Поле принмает прдустановленное значение, текст дублирует значение категории - очистить его и  заполнить 1-60 знакаками на кириллице
- Кликнуть по полю Publication date, в открывшемся календаре выбрать текущую дату, подтвердить выбор кликнув Ok
-  Кликнуть по полю Time, в открывшемся Time Picker (Таймпикер) выбрать текущее время, подтвердить выбор, кликнув Ok
- Заполнить поле Description 1-2500 символами на кириллице 
- кликнуть SAVE
- на открывшейся странице Controle panel найти панель созданной и сохранной новости, кликнуть по этой панели
- на открывшейся странице Controle panel в панели созданной и сохраненной новости, кликнуть иконку Квадрат с карандашом
- в открывшейся форме редактирования новостей  Editting News в выпадающем списке Category выбрать другую категорию (например Праздник)
- Поле Title  принмает предустановленное значение, текст дублирует значение категории - очистить его и  заполнить 1-60 знакаками на кириллице - темиже, что и при создании новости, кликнуть Ok 
- Поле Publication date оставить без изменений
- Поле Time оставить без изменений
- Поле Description без изменений
-  Кликнуть по кнопке SAVE
- кликнуть по панели с отредактированной  новостью
","-  Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Происходит переход на страницу Creating News
- Открывается текст созданной новости для чтения, текст  отображается верно
- Отккрылась форма редактирования новостей Editing News. Форма содержит обязательные для заполнения поля Category, Title, Publication date, Time, Description, переключатель Active/Not active, кнопки SAVE, CANCELL 
- Поле Category принимает выбранную категорию (например Праздник)
-  Поле Title принимает значение (значение то же, что при создании новости)
- Значение поля Publication date остаётся прежним (не меняет значение)
- Значение поля Time остаётся прежним (не меняет значение)
- Значение поля Description остаётся прежним (не меняет значение)
- Происходит переход на страниц Controle panel
-  На главном экране отображается панель с отредактированной новостью
- Содержание полей Category, Title, Publication date, Time отображается верно
- Открывается текс для чтения отредактированной новости, текст отображается верно
","-  Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Происходит переход на страницу Creating News
- Открывается текст созданной новости для чтения, текст  отображается верно
- Отккрылась форма редактирования новостей Editing News. Форма содержит обязательные для заполнения поля Category, Title, Publication date, Time, Description, переключатель Active/Not active, кнопки SAVE, CANCELL 
- Поле Category принимает выбранную категорию (например Праздник)
-  Поле Title принимает предустановленное значение
- Значение поля Publication date остаётся прежним (не меняет значение)
- Значение поля Time остаётся прежним (не меняет значение)
- Значение поля Description остаётся прежним (не меняет значение)
- Происходит переход на страниц Controle panel
-  На главном экране отображается панель с отредактированной новостью
- Содержание полей Category, Title, Publication date, Time отображается верно
- Открывается текс для чтения отредактированной новости, текст отображается верно",?,Покрыт ручным тестом.  Может быть автоматизирован,"При редактировании новости при изменении Category автоматически изменяется и Title, так же как и присоздании новости. Но ведь если мне при редактировании надо изменить только Category, а остально, в том числе и Title менять не надо, то зачем он меняется? Получается это баг? А т.к. его можно изменить вручную, то приоритет средний?  Или это вообще не баг и так было задумано?",
6-NCPEN-3,Редактирование поля Title в существующей (раннее созданной) новости,"Изменения вносятся в форму редактирования раннее существующих (созданных и сохраненных) новостей  Editing News. Изменяется содержимое только поля Title, остальные поля остаются без изменений. ",Высокий,"- Полльзователь авторизован в приложении
- На основном экране открыта страница Creating News
- Страница содержит поля Category, Title, Publication date, Time, Description, SAVE, CANCEL, кнопку переключения Active","- Кликнуть по полю Category, в выпадающем списке выбрать категорию новости, например Объявление
- Кликнуть по полю Title. Поле принмает прдустановленное значение, текст дублирует значение категории - очистить его и  заполнить 1-60 знакаками на кириллице
- Кликнуть по полю Publication date, в открывшемся календаре выбрать текущую дату, подтвердить выбор кликнув Ok
-  Кликнуть по полю Time, в открывшемся Time Picker (Таймпикер) выбрать текущее время, подтвердить выбор, кликнув Ok
- Заполнить поле Description 1-2500 символами на кириллице 
- кликнуть SAVE
- на открывшейся странице Controle panel найти панель созданной и сохранной новости, кликнуть по этой панели
- на открывшейся странице Controle panel в панели созданной и сохраненной новости, кликнуть иконку Квадрат с карандашом
- в открывшейся форме редактирования новостей  Editting News в выпадающем списке Category раннее выбранную   категорию оставить без изменений
- Очистить поле Title  и  заполнить его1-60 знакаками на кириллице, новый текст отличается от текста при создании новости, кликнуть Ok 
- Поле Publication date оставить без изменений
- Поле Time оставить без изменений
- Поле Description без изменений
-  Кликнуть по кнопке SAVE
- кликнуть по панели с отредактированной  новостью
","-  Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Происходит переход на страницу Creating News
- Открывается текст созданной новости для чтения, текст  отображается верно
- Отккрылась форма редактирования новостей Editing News. Форма содержит обязательные для заполнения поля Category, Title, Publication date, Time, Description, переключатель Active/Not active, кнопки SAVE, CANCELL 
- Поле Category имеет значение выбранное при создании новости (например Объявление)
-  Поле Title принимает новое значение
- Значение поля Publication date остаётся прежним (то же, что и при создании новости)
- Значение поля Time остаётся прежним (то же, что и при создании новости)
- Значение поля Description остаётся прежним (то же, что и при создании новости)
- Происходит переход на страниц Controle panel
-  На главном экране отображается панель с отредактированной новостью
- Содержание полей Category, Title, Publication date, Time отображается верно
- Открывается текст для чтения отредактированной новости, текст отображается верно
","-  Открылся выпадающий список, видны категории: Объявления, День рождения, Зарплата, Профсоюз, Праздник, Массаж, Благодарность, Нужна помощь
- Поле Category принимает значеник выбранной категории (Объявление)
- Поле Title принимает значение
- Поле Publication date принимает значение
- Поле Time принимает значение
- Поле Description принимает значение
- Происходит переход на страницу Creating News
- Открывается текст созданной новости для чтения, текст  отображается верно
- Отккрылась форма редактирования новостей Editing News. Форма содержит обязательные для заполнения поля Category, Title, Publication date, Time, Description, переключатель Active/Not active, кнопки SAVE, CANCELL 
- Поле Category имеет значение выбранное при создании новости (например Объявление)
-  Поле Title принимает новое значение
- Значение поля Publication date остаётся прежним (то же, что и при создании новости)
- Значение поля Time остаётся прежним (то же, что и при создании новости)
- Значение поля Description остаётся прежним (то же, что и при создании новости)
- Происходит переход на страниц Controle panel
-  На главном экране отображается панель с отредактированной новостью
- Содержание полей Category, Title, Publication date, Time отображается верно
- Открывается текст для чтения отредактированной новости, текст отображается верно",да,Покрыт ручным тестом.  Может быть автоматизирован,,
